date,humidity,precipitation,wind_speed,cloud_cover_low,Albedo,Elevation,LST,LandCover,MNDWI,NDBI,NDVI,SAVI,latitude,longitude
2022-01-01 08:00:00+00:00,77.94257,0.1,22.539564,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-01-01 14:00:00+00:00,66.57809,0.0,21.2522,27.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-01-01 20:00:00+00:00,59.124893,0.0,18.59845,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-02-01 08:00:00+00:00,79.485954,0.0,23.675303,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-02-01 14:00:00+00:00,73.045845,0.0,24.696102,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-02-01 20:00:00+00:00,73.183655,0.0,19.813087,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-03-01 08:00:00+00:00,91.49143,0.1,14.205182,99.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-03-01 14:00:00+00:00,83.67169,0.1,3.319036,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-03-01 20:00:00+00:00,72.641495,0.0,25.72174,1.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-04-01 08:00:00+00:00,75.90731,0.0,15.192682,88.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-04-01 14:00:00+00:00,71.68778,0.0,23.18579,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-04-01 20:00:00+00:00,75.52326,0.0,27.534704,96.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-05-01 08:00:00+00:00,51.73072,0.1,31.079075,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-05-01 14:00:00+00:00,64.15412,0.0,27.908709,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-05-01 20:00:00+00:00,83.471504,0.1,25.12016,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-06-01 08:00:00+00:00,86.77641,0.0,19.95972,10.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-06-01 14:00:00+00:00,73.44634,0.0,23.675303,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-06-01 20:00:00+00:00,71.52758,0.0,25.537172,1.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-07-01 08:00:00+00:00,98.04903,0.0,14.386494,51.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-07-01 14:00:00+00:00,86.77588,0.0,15.580141,11.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-07-01 20:00:00+00:00,65.90545,0.0,14.689588,1.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-08-01 08:00:00+00:00,76.893,0.0,13.039754,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-08-01 14:00:00+00:00,86.13873,0.1,21.94524,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-08-01 20:00:00+00:00,93.77627,0.0,23.469128,100.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
2022-09-01 08:00:00+00:00,81.42843,0.0,8.311245,0.0,15206.0222,289.0,275.20355246,10.0,-0.0698718693144427,-0.2405056334157735,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
