Albedo,Elevation,LST,LandCover,MNDWI,NDBI,NDVI,SAVI,latitude,longitude
15206.0222,289,275.20355245999997,10,-0.06987186931444277,-0.24050563341577355,0.360272404025794,0.5404004640441143,46.53677767759773,-84.57322209596468
11792.537699999999,442,271.18225193,10,-0.06207843810551618,-0.19937135989645927,0.26796849039269727,0.40194487881157154,46.97149980819707,-83.00879383272684
19878.695200000002,109,262.49193608,20,0.2262040489323021,-0.294864234970376,0.07795881156642277,0.11693685059432674,51.191113481951426,-82.25541082158784
11774.9732,285,278.75145722,10,-0.0832044250691417,-0.16952380952380952,0.2974244478111793,0.446127778331506,48.98384607191493,-80.32857614752677
20358.021699999998,463,256.60097860999997,10,0.27700119099855824,-0.33216565580533564,0.050462851990092344,0.07569341399383632,49.53669953971679,-90.45349799880483
7728.719200000001,179,273.98844635,80,0.014601612328811475,0.01217159960093116,0.004192021636240703,0.006287819884385247,48.256573229240665,-88.76845635062752
23002.213200000002,183,260.81027024,10,0.30761308281141264,-0.33251039849724945,0.048811912556764175,0.07321709560570698,52.155227296341224,-85.56985518994777
19797.8627,409,268.2718079,80,0.25481880044310806,-0.29983792544570503,0.05192351659988208,0.07788433769734308,49.05304065397098,-92.64317842128115
11967.6482,520,269.76890066,10,-0.08500309361762887,-0.1846274902535856,0.28710216453581006,0.4306448792430101,48.25369763416696,-85.61977498380908
30672.522200000003,187,271.76160632,90,0.5291076085724005,-0.5145649226165427,-0.011399185118493537,-0.017098647215461265,52.65415849328967,-86.59757989830247
21040.3552,294,262.69359926,20,0.2687033918691364,-0.32748942289079996,0.06189170058396744,0.09283652410498025,51.9216749806082,-88.57186314692979
17071.2977,185,279.87940382,40,-0.16491723859507468,-0.16345143326528394,0.2822547361974625,0.42337646776899107,42.17225270336309,-82.60739449475224
14024.0132,50,267.00030446,10,0.05759283563653208,-0.18416040100250627,0.14535052845922622,0.2180222692674413,50.68978439220506,-81.34611393394958
17287.078700000002,38,267.65314628,10,0.18659953659343914,-0.2870122928915019,0.09968684759916492,0.1495283203507261,50.89225836175649,-80.15220888296444
17953.257200000004,68,270.2713496,90,0.29864638879247785,-0.2159712179464569,-0.08199078635528453,-0.12298454205333723,51.88202648863732,-83.07709935031748
16336.354200000002,251,269.2117634,60,-0.08083094746654237,-0.13470149253731342,0.23356416422797208,0.3503411708461906,44.74430187315918,-79.99273194223383
25534.8562,70,260.67525845,80,0.46721452713897543,-0.4647669773635153,-0.019659566883521967,-0.029489087522613647,50.21701398688766,-82.17310227889148
12408.102199999998,250,266.85674761999996,10,-0.08008118830150383,-0.17346794690765321,0.2814463590455264,0.4221614016151726,49.43483264901535,-83.33068985281088
11023.907700000002,387,269.85264215,10,-0.056206314774644495,-0.1262685674409331,0.2012078424701229,0.3018053458651413,50.80961293230744,-91.58898658693914
13542.5777,276,268.07185373,10,0.03958819048498419,-0.2820238485564893,0.2537252982769968,0.38058152485740315,48.865421933523514,-81.1979229616226
10034.4602,231,262.36888736000003,10,-0.06447989215906538,-0.1522633744855967,0.24054900072236937,0.3608148130312297,50.2678523733083,-80.8889117260801
11252.0962,222,269.74839254,10,-0.03398423773906933,-0.19141085027871554,0.25970198812933215,0.3895448980015357,49.82621968484137,-81.55709330471473
14483.434200000002,485,258.60735635000003,10,-0.07912659429562059,-0.20773356768386922,0.2782936412476947,0.41743376740008986,47.42223996089806,-83.59825205393606
17957.042699999998,358,265.5715721,20,0.20116199589883801,-0.29237243237515703,0.10344560188176907,0.15516639741518579,51.77477472529487,-93.30691021915274
24211.1767,219,268.78280189,80,0.4242760285798509,-0.4521166459610735,0.022047969612350622,0.0330716434749906,53.83316629492725,-90.82584035521708
18390.471700000002,221,271.89149108,20,0.20279794393513859,-0.32734182875027945,0.14944694691464783,0.22416752710376872,54.26706604526352,-91.45060934558404
27865.878200000006,320,272.17518674,30,0.35132350415818264,-0.3947537081120674,0.05230981780502547,0.0784640491835836,53.111441452018234,-90.66245386392079
10583.785199999998,293,267.23272982000003,10,-0.09155854388821769,-0.1432694289837147,0.2565136616974036,0.3847617753007544,48.932403822869105,-80.70131913240175
8392.289200000001,172,278.16355778,80,0.06032639279684862,0.027758970886932972,-0.029252704031465092,-0.04387770778921493,41.8369482382454,-82.71308340599565
10846.2382,144,261.26315789,10,0.006183648900076611,-0.21271891798161957,0.24093419389180917,0.3613932753726047,50.1157179339448,-82.1899415197989
14954.0912,194,268.22224661,10,0.10760355740725903,-0.26321360058212606,0.17907475726656685,0.26860798962706844,54.565645370886806,-91.38003180488028
10767.4337,242,259.96260128,10,-0.06032945126429546,-0.164396304028774,0.23878430682617874,0.35816858355507664,49.72922094641839,-83.50082644447505
17382.6597,115,264.40090025,20,0.17683023802371403,-0.2601604065750814,0.1250602614638573,0.1875877323578204,53.163423805876754,-85.5183749425862
15398.634199999999,316,266.41924106,10,0.1223839524947498,-0.20458125492255186,0.08485296290823112,0.12727756350578534,51.863168964927134,-88.88662980606634
11701.7822,87,256.33950008,10,-0.09686795289401152,-0.19184758529020823,0.29794933655006034,0.4469150198025773,50.51203948911518,-82.15995788806238
8242.9512,73,272.3392517,80,-0.0345719458574015,0.05584232754575317,0.017414114598147973,0.02612034637507111,43.53169081920753,-79.02329676960674
17279.882700000002,84,272.15980565,20,0.1304675445835875,-0.22919350477917202,0.10762704577373958,0.16143825506241133,51.79854590069722,-83.89295985152489
12686.5807,450,264.19752805999997,10,-0.13152858809801635,-0.2018896808282991,0.3516725596549362,0.5274990744168826,47.45339934139392,-82.09344935077421
